 State , District ,Un-irrigated net sown area as share of total net sown area,,Area under horticulture crops as a share of gross cropped area (%),,Score on water scarcity index (max-1),,Monthly per capita expenditure of rural agricultural households (INR),,Crop revenue per holding (INR),,"No of rural and semi-urban bank branches per 10,000 cultivators",,Medium and long term institutional credit disbursed in a year (in INR Crore),,"Level of farm mechanisation (tractors,harvesters, threshers per ha)",,Proportion of small and marginal cultivators,,Climate Resilient Score by CRIDA,,Summary Text
 Jammu & Kashmir , Ganderbal ,,"It has a relatively small proportion of its net sown area unirrigated, indicating poor irrigation demand. ",,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ",,,,,,,The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","It has a relatively small proportion of its net sown area unirrigated, indicating poor irrigation demand. Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Jammu & Kashmir , Jammu ,,,,"Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.","Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ",,,,"The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.","There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. ",,The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Jammu & Kashmir , Kargil ,,"It has a relatively small proportion of its net sown area unirrigated, indicating poor irrigation demand. ",,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ",,,,"The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.","There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. ",,The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","It has a relatively small proportion of its net sown area unirrigated, indicating poor irrigation demand. Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Jammu & Kashmir , Kathua ,,,,"Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.","Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ","The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. ",,,"The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.",,,The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Jammu & Kashmir , Kishtwar ,,,,"Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.","Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ",,,,"The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.",,,The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Jammu & Kashmir , Kulgam ,,"It has a relatively small proportion of its net sown area unirrigated, indicating poor irrigation demand. ","In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.",,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ",,,,,"There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. ",,The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","It has a relatively small proportion of its net sown area unirrigated, indicating poor irrigation demand. In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Jammu & Kashmir , Kupwara ,,,,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ",,,,,"There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. ",,The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Jammu & Kashmir , Leh (ladakh) ,,"It has a relatively small proportion of its net sown area unirrigated, indicating poor irrigation demand. ",,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ","The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. ",,,"The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.","There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. ",,The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","It has a relatively small proportion of its net sown area unirrigated, indicating poor irrigation demand. Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Jammu & Kashmir , Pulwama ,,"It has a relatively small proportion of its net sown area unirrigated, indicating poor irrigation demand. ","In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.",,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ",,,,,"There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. ",,The district has a relatively high proportion of small and marginal farmers.,,,,"It has a relatively small proportion of its net sown area unirrigated, indicating poor irrigation demand. In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. The district has a relatively high proportion of small and marginal farmers."
 Jammu & Kashmir , Punch ,,,,"Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.","Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ",,,,"The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.",,,The district has a relatively high proportion of small and marginal farmers.,,,,"Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.The district has a relatively high proportion of small and marginal farmers."
 Jammu & Kashmir , Rajouri ,"In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.",,,"Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.","Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ",,,,"The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.","There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. ",,The district has a relatively high proportion of small and marginal farmers.,,"The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA.",,"In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA."
 Jammu & Kashmir , Ramban ,"In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.",,,"Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.","Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ",,,,"The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.",,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Jammu & Kashmir , Reasi ,"In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.",,,"Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.","Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ","The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. ",,,"The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.","There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. ",,The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Jammu & Kashmir , Samba ,,,,"Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.","Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ","The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. ",,,,,,The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Jammu & Kashmir , Shupiyan ,"In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.",,"In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.",,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ",,,,,,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Jammu & Kashmir , Srinagar ,,"It has a relatively small proportion of its net sown area unirrigated, indicating poor irrigation demand. ","In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.",,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ","The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. ",,,"The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.",,,The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","It has a relatively small proportion of its net sown area unirrigated, indicating poor irrigation demand. In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Jammu & Kashmir , Udhampur ,"In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.",,,"Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.","Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,"The average monthly per capita expenditure of rural agricultural households is relatively low for the district, suggesting poor purchasing capacity of the farmers here.",,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ","The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. ",,,"The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.",,,The district has a relatively high proportion of small and marginal farmers.,,,,"In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively low for the district, suggesting poor purchasing capacity of the farmers here.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.The district has a relatively high proportion of small and marginal farmers."
 Jharkhand , Bokaro ,"In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.",,"In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.",,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,"The average monthly per capita expenditure of rural agricultural households is relatively low for the district, suggesting poor purchasing capacity of the farmers here.",,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ","The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. ",,,"The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.",,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",,,"The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA.",,"In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively low for the district, suggesting poor purchasing capacity of the farmers here.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. The district appears in the group of districts, which are (very) highly vulnerable towards climate change, as per an index constructed by CRIDA."
 Jharkhand , Chatra ,,,,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,"The average monthly per capita expenditure of rural agricultural households is relatively low for the district, suggesting poor purchasing capacity of the farmers here.",,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ",,,,,"There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. ",,The district has a relatively high proportion of small and marginal farmers.,,,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively low for the district, suggesting poor purchasing capacity of the farmers here.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. There is a comparatively high level of farm mechanization in the district, implying a positive outlook towards progressive technologies amongst the farmers. The district has a relatively high proportion of small and marginal farmers."
 Jharkhand , Deoghar ,,,,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,"The average monthly per capita expenditure of rural agricultural households is relatively low for the district, suggesting poor purchasing capacity of the farmers here.",,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ","The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. ",,,,,,,,,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively low for the district, suggesting poor purchasing capacity of the farmers here.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. "
