 state , district ,Private Ownership of pump,Solarization of feeders,Water-as-a-service,Promote 1 HP and sub-HP pump,Har Khet ko Pani,Per Drop More Crop,Doubling Farmers' Income - Capital Investment,Doubling Farmers' Income - Crop Intensity,Doubling Farmers' Income - Crop Diversification,National Mission on Oilseeds and Oil Palm (NMOOP),Sub-Mission on Agricultural Mechanisation - Farm Power Availability,Climate Resilient Farming for Small Farms
 Madhya Pradesh , Satna ,"The district has comparatively high concentration of diesel pump users but ground water available within critical zone, overall low crop revenue per holding and relatively low disbursement of institutional credit, making it very difficult to promote solar-based irrigation through private ownership of pump here. ","The district has rather high power purchase rate for the respective DISCOM and relatively high penetration of electric pumps but comparatively low extent of feeder segregation, making it somewhat difficult to solarize the feeder here. ","The district has relatively high concentration of small and marginal farmers and rather high proportion of unirrigated area but groundwater available in critical zone, making it somewhat difficult to promote solar based irrigation through water-as-a-service here.","The district has groundwater available in critical zone, rather low concentration of marginal farmers, comparatively low disbursement of institutional cedit to marginal farmers and relatively low proportion of horticulture crops under gross cropped area, making it very difficult to promote 1 HP and sub-HP pump here.","The district has relatively high proportion of its net sown area unirrigated, indicating high irrigation demand. Solar pumps can help improve access to underground irrigation as part of Har Khet ko Pani.",,,"The district has relatively high proportion of its net sown area unirrigated. Lack of access to irrigation is one of the major barriers to grow crops beyond two convetional seasons, rabi and kharif. Ensuring irrigation access through solar power will help improve cropping intensity and hence move towards the aim of doubling farmers' income by 2022. ",,The relative high share of oilseeds and oil palm crops under gross sown area in the district makes it a suitable candidate for promoting NMOOP. Solar pumps could meet irrigation needs for these crops andl help cultivators diversify their yields beyond cereals.,"There is comparatively high level of farm mechanization in the district, implying positive outlook towards progressive technologies among the farmers. Solar pumps could be deployed under Sub-Mission on Agricultural Mechanization to further ensure higher farm power availability.",
 Madhya Pradesh , Sehore ,"The district has ground water available within safe limit, comparatively high concentration of diesel pump users and overall high crop revenue per holding but has relatively low disbursement of institutional credit, making it somewhat difficult to promote solar-based irrigation through private ownership of pump here. ","The district has rather high power purchase rate for the respective DISCOM and relatively high penetration of electric pumps but comparatively low extent of feeder segregation, making it somewhat difficult to solarize the feeder here. ","The district has groundwater available within safe limit but rather low concentration of small and marginal farmers and relatively low proportion of unirrigated area, making it difficult to promote solar based irrigation through water-as-a-service here.","The district has groundwater available in safe limit but rather low concentration of marginal farmers, comparatively low disbursement of institutional cedit to marginal farmers and relatively low proportion of horticulture crops under gross cropped area, making it very difficult to promote 1 HP and sub-HP pump here.",,"In the district, crops suitable for drip and sprinkler irrigation occupy relatively high proportion of gross cropped area, making it easy to adopt such high precision irrigation methods. Solar pumps, along with other efficient and precise water application devices, could be deployed under Per Drop More Crop to promote efficient irrigation.",,,,The relative high share of oilseeds and oil palm crops under gross sown area in the district makes it a suitable candidate for promoting NMOOP. Solar pumps could meet irrigation needs for these crops andl help cultivators diversify their yields beyond cereals.,"There is comparatively high level of farm mechanization in the district, implying positive outlook towards progressive technologies among the farmers. Solar pumps could be deployed under Sub-Mission on Agricultural Mechanization to further ensure higher farm power availability.",
 Madhya Pradesh , Seoni ,"The district has ground water available within safe limit and comparatively high concentration of diesel pump users but overall low crop revenue per holding and relatively low disbursement of institutional credit, making it difficult to promote solar-based irrigation through private ownership of pump here. ","The district has rather high power purchase rate for the respective DISCOM and relatively high penetration of electric pumps but comparatively low extent of feeder segregation, making it somewhat difficult to solarize the feeder here. ",#N/A,"The district has groundwater available in safe limit but rather low concentration of marginal farmers, comparatively low disbursement of institutional cedit to marginal farmers and relatively low proportion of horticulture crops under gross cropped area, making it very difficult to promote 1 HP and sub-HP pump here.","The district has relatively high proportion of its net sown area unirrigated, indicating high irrigation demand. Solar pumps can help improve access to underground irrigation as part of Har Khet ko Pani.",,,"The district has relatively high proportion of its net sown area unirrigated. Lack of access to irrigation is one of the major barriers to grow crops beyond two convetional seasons, rabi and kharif. Ensuring irrigation access through solar power will help improve cropping intensity and hence move towards the aim of doubling farmers' income by 2022. ",,The relative high share of oilseeds and oil palm crops under gross sown area in the district makes it a suitable candidate for promoting NMOOP. Solar pumps could meet irrigation needs for these crops andl help cultivators diversify their yields beyond cereals.,,
 Madhya Pradesh , Shahdol ,"The district has ground water available within safe limit but comparatively low concentration of diesel pump users, overall low crop revenue per holding and relatively low disbursement of institutional credit, making it very difficult to promote solar-based irrigation through private ownership of pump here. ","The district has rather high power purchase rate for the respective DISCOM and relatively high penetration of electric pumps but comparatively low extent of feeder segregation, making it somewhat difficult to solarize the feeder here. ",#N/A,"The district has groundwater available in safe limit but rather low concentration of marginal farmers, comparatively low disbursement of institutional cedit to marginal farmers and relatively low proportion of horticulture crops under gross cropped area, making it very difficult to promote 1 HP and sub-HP pump here.","The district has relatively high proportion of its net sown area unirrigated, indicating high irrigation demand. Solar pumps can help improve access to underground irrigation as part of Har Khet ko Pani.",,,"The district has relatively high proportion of its net sown area unirrigated. Lack of access to irrigation is one of the major barriers to grow crops beyond two convetional seasons, rabi and kharif. Ensuring irrigation access through solar power will help improve cropping intensity and hence move towards the aim of doubling farmers' income by 2022. ",,The relative high share of oilseeds and oil palm crops under gross sown area in the district makes it a suitable candidate for promoting NMOOP. Solar pumps could meet irrigation needs for these crops andl help cultivators diversify their yields beyond cereals.,,
 Madhya Pradesh , Shajapur ,"The district has overall high crop revenue per holding and high concentration of diesel pump users but low disbursement of institutional credit and ground water available within critical zone, making it difficult to promote solar-based irrigation through private ownership of pump here. ","Given the relatively high power purchase rate for the respective DISCOM, comparatively high extent of feeder segregation, and high penetration of electric pumps, solarization of feeder would be the way to promote solar-powered irrigation in the district. It would ensure rapid and cost effective solarization of irrigation power at large scale. ","The district has relatively high concentration of small and marginal farmers and rather high proportion of unirrigated area but groundwater available in critical zone, making it somewhat difficult to promote solar based irrigation through water-as-a-service here.","The district has groundwater available in critical zone, rather low concentration of marginal farmers, comparatively low disbursement of institutional cedit to marginal farmers and relatively low proportion of horticulture crops under gross cropped area, making it very difficult to promote 1 HP and sub-HP pump here.","The district has relatively high proportion of its net sown area unirrigated, indicating high irrigation demand. Solar pumps can help improve access to underground irrigation as part of Har Khet ko Pani.","In the district, crops suitable for drip and sprinkler irrigation occupy relatively high proportion of gross cropped area, making it easy to adopt such high precision irrigation methods. Solar pumps, along with other efficient and precise water application devices, could be deployed under Per Drop More Crop to promote efficient irrigation.",,"The district has relatively high proportion of its net sown area unirrigated. Lack of access to irrigation is one of the major barriers to grow crops beyond two convetional seasons, rabi and kharif. Ensuring irrigation access through solar power will help improve cropping intensity and hence move towards the aim of doubling farmers' income by 2022. ",,The relative high share of oilseeds and oil palm crops under gross sown area in the district makes it a suitable candidate for promoting NMOOP. Solar pumps could meet irrigation needs for these crops andl help cultivators diversify their yields beyond cereals.,,
 Madhya Pradesh , Sheopur ,"The district has ground water available within safe limit, comparatively high concentration of diesel pump users and overall high crop revenue per holding but has relatively low disbursement of institutional credit, making it somewhat difficult to promote solar-based irrigation through private ownership of pump here. ","Given the relatively high power purchase rate for the respective DISCOM, comparatively high extent of feeder segregation, and high penetration of electric pumps, solarization of feeder would be the way to promote solar-powered irrigation in the district. It would ensure rapid and cost effective solarization of irrigation power at large scale. ","The district has groundwater available within safe limit but rather low concentration of small and marginal farmers and relatively low proportion of unirrigated area, making it difficult to promote solar based irrigation through water-as-a-service here.","The district has groundwater available in safe limit but rather low concentration of marginal farmers, comparatively low disbursement of institutional cedit to marginal farmers and relatively low proportion of horticulture crops under gross cropped area, making it very difficult to promote 1 HP and sub-HP pump here.",,"In the district, crops suitable for drip and sprinkler irrigation occupy relatively high proportion of gross cropped area, making it easy to adopt such high precision irrigation methods. Solar pumps, along with other efficient and precise water application devices, could be deployed under Per Drop More Crop to promote efficient irrigation.",,,,The relative high share of oilseeds and oil palm crops under gross sown area in the district makes it a suitable candidate for promoting NMOOP. Solar pumps could meet irrigation needs for these crops andl help cultivators diversify their yields beyond cereals.,"There is comparatively high level of farm mechanization in the district, implying positive outlook towards progressive technologies among the farmers. Solar pumps could be deployed under Sub-Mission on Agricultural Mechanization to further ensure higher farm power availability.",
 Madhya Pradesh , Shivpuri ,"The district has overall high crop revenue per holding and high concentration of diesel pump users but low disbursement of institutional credit and ground water available within critical zone, making it difficult to promote solar-based irrigation through private ownership of pump here. ","Given the relatively high power purchase rate for the respective DISCOM, comparatively high extent of feeder segregation, and high penetration of electric pumps, solarization of feeder would be the way to promote solar-powered irrigation in the district. It would ensure rapid and cost effective solarization of irrigation power at large scale. ",#N/A,"The district has groundwater available in critical zone, rather low concentration of marginal farmers, comparatively low disbursement of institutional cedit to marginal farmers and relatively low proportion of horticulture crops under gross cropped area, making it very difficult to promote 1 HP and sub-HP pump here.",,"In the district, crops suitable for drip and sprinkler irrigation occupy relatively high proportion of gross cropped area, making it easy to adopt such high precision irrigation methods. Solar pumps, along with other efficient and precise water application devices, could be deployed under Per Drop More Crop to promote efficient irrigation.",,,,The relative high share of oilseeds and oil palm crops under gross sown area in the district makes it a suitable candidate for promoting NMOOP. Solar pumps could meet irrigation needs for these crops andl help cultivators diversify their yields beyond cereals.,"There is comparatively high level of farm mechanization in the district, implying positive outlook towards progressive technologies among the farmers. Solar pumps could be deployed under Sub-Mission on Agricultural Mechanization to further ensure higher farm power availability.",
 Madhya Pradesh , Sidhi ,"The district has ground water available within safe limit but comparatively low concentration of diesel pump users, overall low crop revenue per holding and relatively low disbursement of institutional credit, making it very difficult to promote solar-based irrigation through private ownership of pump here. ","The district has rather high power purchase rate for the respective DISCOM and relatively high penetration of electric pumps but comparatively low extent of feeder segregation, making it somewhat difficult to solarize the feeder here. ",#N/A,"The district has groundwater available in safe limit but rather low concentration of marginal farmers, comparatively low disbursement of institutional cedit to marginal farmers and relatively low proportion of horticulture crops under gross cropped area, making it very difficult to promote 1 HP and sub-HP pump here.","The district has relatively high proportion of its net sown area unirrigated, indicating high irrigation demand. Solar pumps can help improve access to underground irrigation as part of Har Khet ko Pani.",,,"The district has relatively high proportion of its net sown area unirrigated. Lack of access to irrigation is one of the major barriers to grow crops beyond two convetional seasons, rabi and kharif. Ensuring irrigation access through solar power will help improve cropping intensity and hence move towards the aim of doubling farmers' income by 2022. ",,The relative high share of oilseeds and oil palm crops under gross sown area in the district makes it a suitable candidate for promoting NMOOP. Solar pumps could meet irrigation needs for these crops andl help cultivators diversify their yields beyond cereals.,,
 Madhya Pradesh , Singrauli ,"The district has overall high crop revenue per holding and ground water available within safe limit but relatively low disbursement of institutional creditand and comparatively low concentration of diesel pump users, making it difficult to promote solar-based irrigation through private ownership of pump here. ","The district has rather high power purchase rate for the respective DISCOM and relatively high penetration of electric pumps but comparatively low extent of feeder segregation, making it somewhat difficult to solarize the feeder here. ",#N/A,"The district has groundwater available in safe limit but rather low concentration of marginal farmers, comparatively low disbursement of institutional cedit to marginal farmers and relatively low proportion of horticulture crops under gross cropped area, making it very difficult to promote 1 HP and sub-HP pump here.","The district has relatively high proportion of its net sown area unirrigated, indicating high irrigation demand. Solar pumps can help improve access to underground irrigation as part of Har Khet ko Pani.",,,"The district has relatively high proportion of its net sown area unirrigated. Lack of access to irrigation is one of the major barriers to grow crops beyond two convetional seasons, rabi and kharif. Ensuring irrigation access through solar power will help improve cropping intensity and hence move towards the aim of doubling farmers' income by 2022. ",,The relative high share of oilseeds and oil palm crops under gross sown area in the district makes it a suitable candidate for promoting NMOOP. Solar pumps could meet irrigation needs for these crops andl help cultivators diversify their yields beyond cereals.,,
 Madhya Pradesh , Tikamgarh ,"The district has comparatively high concentration of diesel pump users but ground water available within critical zone, overall low crop revenue per holding and relatively low disbursement of institutional credit, making it very difficult to promote solar-based irrigation through private ownership of pump here. ","The district has rather high power purchase rate for the respective DISCOM and relatively high penetration of electric pumps but comparatively low extent of feeder segregation, making it somewhat difficult to solarize the feeder here. ","The district has rather low concentration of small and marginal farmers, relatively low proportion of unirrigated area and groundwater available within critical zone, making it extremely difficult to promote solar based irrigation through water-as-a-service here.","The district has groundwater available in critical zone, rather low concentration of marginal farmers, comparatively low disbursement of institutional cedit to marginal farmers and relatively low proportion of horticulture crops under gross cropped area, making it very difficult to promote 1 HP and sub-HP pump here.",,"In the district, crops suitable for drip and sprinkler irrigation occupy relatively high proportion of gross cropped area, making it easy to adopt such high precision irrigation methods. Solar pumps, along with other efficient and precise water application devices, could be deployed under Per Drop More Crop to promote efficient irrigation.",,,,The relative high share of oilseeds and oil palm crops under gross sown area in the district makes it a suitable candidate for promoting NMOOP. Solar pumps could meet irrigation needs for these crops andl help cultivators diversify their yields beyond cereals.,,
 Madhya Pradesh , Ujjain ,"The district has comparatively high concentration of diesel pump users, overall high crop revenue per holding and relatively high disbursement of institutional credit but ground water available in critical zone, making it somewhat difficult to promote solar-based irrigation through private ownership of pump here. ","Given the relatively high power purchase rate for the respective DISCOM, comparatively high extent of feeder segregation, and high penetration of electric pumps, solarization of feeder would be the way to promote solar-powered irrigation in the district. It would ensure rapid and cost effective solarization of irrigation power at large scale. ","The district has rather low concentration of small and marginal farmers, relatively low proportion of unirrigated area and groundwater available within critical zone, making it extremely difficult to promote solar based irrigation through water-as-a-service here.","The district has groundwater available in critical zone, rather low concentration of marginal farmers, comparatively low disbursement of institutional cedit to marginal farmers and relatively low proportion of horticulture crops under gross cropped area, making it very difficult to promote 1 HP and sub-HP pump here.",,"In the district, crops suitable for drip and sprinkler irrigation occupy relatively high proportion of gross cropped area, making it easy to adopt such high precision irrigation methods. Solar pumps, along with other efficient and precise water application devices, could be deployed under Per Drop More Crop to promote efficient irrigation.",,,,The relative high share of oilseeds and oil palm crops under gross sown area in the district makes it a suitable candidate for promoting NMOOP. Solar pumps could meet irrigation needs for these crops andl help cultivators diversify their yields beyond cereals.,"There is comparatively high level of farm mechanization in the district, implying positive outlook towards progressive technologies among the farmers. Solar pumps could be deployed under Sub-Mission on Agricultural Mechanization to further ensure higher farm power availability.",
 Madhya Pradesh , Umaria ,"The district has ground water available within safe limit but comparatively low concentration of diesel pump users, overall low crop revenue per holding and relatively low disbursement of institutional credit, making it very difficult to promote solar-based irrigation through private ownership of pump here. ","The district has rather high power purchase rate for the respective DISCOM and relatively high penetration of electric pumps but comparatively low extent of feeder segregation, making it somewhat difficult to solarize the feeder here. ",#N/A,"The district has groundwater available in safe limit but rather low concentration of marginal farmers, comparatively low disbursement of institutional cedit to marginal farmers and relatively low proportion of horticulture crops under gross cropped area, making it very difficult to promote 1 HP and sub-HP pump here.","The district has relatively high proportion of its net sown area unirrigated, indicating high irrigation demand. Solar pumps can help improve access to underground irrigation as part of Har Khet ko Pani.",,,"The district has relatively high proportion of its net sown area unirrigated. Lack of access to irrigation is one of the major barriers to grow crops beyond two convetional seasons, rabi and kharif. Ensuring irrigation access through solar power will help improve cropping intensity and hence move towards the aim of doubling farmers' income by 2022. ",,The relative high share of oilseeds and oil palm crops under gross sown area in the district makes it a suitable candidate for promoting NMOOP. Solar pumps could meet irrigation needs for these crops andl help cultivators diversify their yields beyond cereals.,,
 Madhya Pradesh , Vidisha ,"The district has ground water available within safe limit, comparatively high concentration of diesel pump users and overall high crop revenue per holding but has relatively low disbursement of institutional credit, making it somewhat difficult to promote solar-based irrigation through private ownership of pump here. ","The district has rather high power purchase rate for the respective DISCOM and relatively high penetration of electric pumps but comparatively low extent of feeder segregation, making it somewhat difficult to solarize the feeder here. ","The district has groundwater available within safe limit but rather low concentration of small and marginal farmers and relatively low proportion of unirrigated area, making it difficult to promote solar based irrigation through water-as-a-service here.","The district has groundwater available in safe limit but rather low concentration of marginal farmers, comparatively low disbursement of institutional cedit to marginal farmers and relatively low proportion of horticulture crops under gross cropped area, making it very difficult to promote 1 HP and sub-HP pump here.",,"In the district, crops suitable for drip and sprinkler irrigation occupy relatively high proportion of gross cropped area, making it easy to adopt such high precision irrigation methods. Solar pumps, along with other efficient and precise water application devices, could be deployed under Per Drop More Crop to promote efficient irrigation.",,,,The relative high share of oilseeds and oil palm crops under gross sown area in the district makes it a suitable candidate for promoting NMOOP. Solar pumps could meet irrigation needs for these crops andl help cultivators diversify their yields beyond cereals.,"There is comparatively high level of farm mechanization in the district, implying positive outlook towards progressive technologies among the farmers. Solar pumps could be deployed under Sub-Mission on Agricultural Mechanization to further ensure higher farm power availability.",
 Madhya Pradesh , West Nimar ,"The district has overall high crop revenue per holding and ground water available within safe limit but relatively low disbursement of institutional creditand and comparatively low concentration of diesel pump users, making it difficult to promote solar-based irrigation through private ownership of pump here. ","Given the relatively high power purchase rate for the respective DISCOM, comparatively high extent of feeder segregation, and high penetration of electric pumps, solarization of feeder would be the way to promote solar-powered irrigation in the district. It would ensure rapid and cost effective solarization of irrigation power at large scale. ",#N/A,"The district has groundwater available in safe limit but rather low concentration of marginal farmers, comparatively low disbursement of institutional cedit to marginal farmers and relatively low proportion of horticulture crops under gross cropped area, making it very difficult to promote 1 HP and sub-HP pump here.","The district has relatively high proportion of its net sown area unirrigated, indicating high irrigation demand. Solar pumps can help improve access to underground irrigation as part of Har Khet ko Pani.","In the district, crops suitable for drip and sprinkler irrigation occupy relatively high proportion of gross cropped area, making it easy to adopt such high precision irrigation methods. Solar pumps, along with other efficient and precise water application devices, could be deployed under Per Drop More Crop to promote efficient irrigation.",,"The district has relatively high proportion of its net sown area unirrigated. Lack of access to irrigation is one of the major barriers to grow crops beyond two convetional seasons, rabi and kharif. Ensuring irrigation access through solar power will help improve cropping intensity and hence move towards the aim of doubling farmers' income by 2022. ",,The relative high share of oilseeds and oil palm crops under gross sown area in the district makes it a suitable candidate for promoting NMOOP. Solar pumps could meet irrigation needs for these crops andl help cultivators diversify their yields beyond cereals.,,
 Maharashtra , Ahmadnagar ,"Availability of groundwater within safe limit, comparatively high concentration of diesel pump users, relatively higher crop revenue per revenue and institutional credit disbursed in the district make it a suitable candidate for promotion of solar-based irrigation through private ownership of solar pumps. Ownership of pump, being less subject to external fluctuation, would provide better control over irrigation for farmers. ","Given the relatively high power purchase rate for the respective DISCOM, comparatively high extent of feeder segregation, and high penetration of electric pumps, solarization of feeder would be the way to promote solar-powered irrigation in the district. It would ensure rapid and cost effective solarization of irrigation power at large scale. ",#N/A,"The district has comparatively high disbursement of institutional cedit to marginal farmers and groundwater available within safe limit but rather low concentration of marginal farmers and relatively low proportion of horticulture crops under gross cropped area, making it difficult to promote 1 HP and sub-HP pump here.","The district has relatively high proportion of its net sown area unirrigated, indicating high irrigation demand. Solar pumps can help improve access to underground irrigation as part of Har Khet ko Pani.",,,"The district has relatively high proportion of its net sown area unirrigated. Lack of access to irrigation is one of the major barriers to grow crops beyond two convetional seasons, rabi and kharif. Ensuring irrigation access through solar power will help improve cropping intensity and hence move towards the aim of doubling farmers' income by 2022. ",,,,
 Maharashtra , Akola ,"Availability of groundwater within safe limit, comparatively high concentration of diesel pump users, relatively higher crop revenue per revenue and institutional credit disbursed in the district make it a suitable candidate for promotion of solar-based irrigation through private ownership of solar pumps. Ownership of pump, being less subject to external fluctuation, would provide better control over irrigation for farmers. ","Given the relatively high power purchase rate for the respective DISCOM, comparatively high extent of feeder segregation, and high penetration of electric pumps, solarization of feeder would be the way to promote solar-powered irrigation in the district. It would ensure rapid and cost effective solarization of irrigation power at large scale. ",#N/A,"The district has comparatively high disbursement of institutional cedit to marginal farmers and groundwater available within safe limit but rather low concentration of marginal farmers and relatively low proportion of horticulture crops under gross cropped area, making it difficult to promote 1 HP and sub-HP pump here.","The district has relatively high proportion of its net sown area unirrigated, indicating high irrigation demand. Solar pumps can help improve access to underground irrigation as part of Har Khet ko Pani.",,,"The district has relatively high proportion of its net sown area unirrigated. Lack of access to irrigation is one of the major barriers to grow crops beyond two convetional seasons, rabi and kharif. Ensuring irrigation access through solar power will help improve cropping intensity and hence move towards the aim of doubling farmers' income by 2022. ",,,,
 Maharashtra , Amravati ,"The district has comparatively high concentration of diesel pump users, overall high crop revenue per holding and relatively high disbursement of institutional credit but ground water available in critical zone, making it somewhat difficult to promote solar-based irrigation through private ownership of pump here. ","Given the relatively high power purchase rate for the respective DISCOM, comparatively high extent of feeder segregation, and high penetration of electric pumps, solarization of feeder would be the way to promote solar-powered irrigation in the district. It would ensure rapid and cost effective solarization of irrigation power at large scale. ","The district has relatively high concentration of small and marginal farmers and rather high proportion of unirrigated area but groundwater available in critical zone, making it somewhat difficult to promote solar based irrigation through water-as-a-service here.","The district has comparatively high disbursement of institutional cedit to marginal farmers but rather low concentration of marginal farmers, relatively low proportion of horticulture crops under gross cropped area and groundwater available in critical zone, making it very difficult to promote 1 HP and sub-HP pump here.","The district has relatively high proportion of its net sown area unirrigated, indicating high irrigation demand. Solar pumps can help improve access to underground irrigation as part of Har Khet ko Pani.",,,"The district has relatively high proportion of its net sown area unirrigated. Lack of access to irrigation is one of the major barriers to grow crops beyond two convetional seasons, rabi and kharif. Ensuring irrigation access through solar power will help improve cropping intensity and hence move towards the aim of doubling farmers' income by 2022. ",,,,
 Maharashtra , Aurangabad (Mhr) ,"Availability of groundwater within safe limit, comparatively high concentration of diesel pump users, relatively higher crop revenue per revenue and institutional credit disbursed in the district make it a suitable candidate for promotion of solar-based irrigation through private ownership of solar pumps. Ownership of pump, being less subject to external fluctuation, would provide better control over irrigation for farmers. ","Given the relatively high power purchase rate for the respective DISCOM, comparatively high extent of feeder segregation, and high penetration of electric pumps, solarization of feeder would be the way to promote solar-powered irrigation in the district. It would ensure rapid and cost effective solarization of irrigation power at large scale. ",#N/A,"The district has comparatively high disbursement of institutional cedit to marginal farmers and groundwater available within safe limit but rather low concentration of marginal farmers and relatively low proportion of horticulture crops under gross cropped area, making it difficult to promote 1 HP and sub-HP pump here.","The district has relatively high proportion of its net sown area unirrigated, indicating high irrigation demand. Solar pumps can help improve access to underground irrigation as part of Har Khet ko Pani.",,,"The district has relatively high proportion of its net sown area unirrigated. Lack of access to irrigation is one of the major barriers to grow crops beyond two convetional seasons, rabi and kharif. Ensuring irrigation access through solar power will help improve cropping intensity and hence move towards the aim of doubling farmers' income by 2022. ",,,,
 Maharashtra , Bhandara ,"The district has availability of ground water within safe limit, comparatively high concentration of diesel pump users and relatively high disbursement of institutional credit but overall low crop revenue per holding, making it somewhat difficult to promote solar-based irrigation through private ownership of pump here. ","Given the relatively high power purchase rate for the respective DISCOM, comparatively high extent of feeder segregation, and high penetration of electric pumps, solarization of feeder would be the way to promote solar-powered irrigation in the district. It would ensure rapid and cost effective solarization of irrigation power at large scale. ","Availability of groundwater within safe limit, relatively high proportion of unirrigated area and rather high concentration of small and marginal farmers in the district make water-as-a-service, a potential way to promote solar-based irrigation. The model could help in improving irrigation equity, without requiring a farmer to bear an upfront cost to purchase a pump. ","The district has groundwater available within safe limit, rather high concentration of marginal farmers and comparatively high disbursement of institutional cedit to marginal farmers but relatively low proportion of horticulture crops under gross cropped area, making it somewhat difficult to promote 1 HP and sub-HP pump here.","The district has relatively high proportion of its net sown area unirrigated, indicating high irrigation demand. Solar pumps can help improve access to underground irrigation as part of Har Khet ko Pani.",,"Given the high concentration of small & marginal cultivators and their relatively better access to institutional credit, the district is suitable to promote doubling farmers' income through capital investment. Solar pumps could be one of the farm technologies to invest in for farmers, especially 1 HP or sub-HP pumps for marginal farmers. ","The district has relatively high proportion of its net sown area unirrigated. Lack of access to irrigation is one of the major barriers to grow crops beyond two convetional seasons, rabi and kharif. Ensuring irrigation access through solar power will help improve cropping intensity and hence move towards the aim of doubling farmers' income by 2022. ",,,,
 Maharashtra , Bid ,#N/A,"Given the relatively high power purchase rate for the respective DISCOM, comparatively high extent of feeder segregation, and high penetration of electric pumps, solarization of feeder would be the way to promote solar-powered irrigation in the district. It would ensure rapid and cost effective solarization of irrigation power at large scale. ",#N/A,"The district has comparatively high disbursement of institutional cedit to marginal farmers and groundwater available within safe limit but rather low concentration of marginal farmers and relatively low proportion of horticulture crops under gross cropped area, making it difficult to promote 1 HP and sub-HP pump here.","The district has relatively high proportion of its net sown area unirrigated, indicating high irrigation demand. Solar pumps can help improve access to underground irrigation as part of Har Khet ko Pani.",,,"The district has relatively high proportion of its net sown area unirrigated. Lack of access to irrigation is one of the major barriers to grow crops beyond two convetional seasons, rabi and kharif. Ensuring irrigation access through solar power will help improve cropping intensity and hence move towards the aim of doubling farmers' income by 2022. ",,,,
 Maharashtra , Buldana ,"Availability of groundwater within safe limit, comparatively high concentration of diesel pump users, relatively higher crop revenue per revenue and institutional credit disbursed in the district make it a suitable candidate for promotion of solar-based irrigation through private ownership of solar pumps. Ownership of pump, being less subject to external fluctuation, would provide better control over irrigation for farmers. ","Given the relatively high power purchase rate for the respective DISCOM, comparatively high extent of feeder segregation, and high penetration of electric pumps, solarization of feeder would be the way to promote solar-powered irrigation in the district. It would ensure rapid and cost effective solarization of irrigation power at large scale. ",#N/A,"The district has comparatively high disbursement of institutional cedit to marginal farmers and groundwater available within safe limit but rather low concentration of marginal farmers and relatively low proportion of horticulture crops under gross cropped area, making it difficult to promote 1 HP and sub-HP pump here.","The district has relatively high proportion of its net sown area unirrigated, indicating high irrigation demand. Solar pumps can help improve access to underground irrigation as part of Har Khet ko Pani.",,,"The district has relatively high proportion of its net sown area unirrigated. Lack of access to irrigation is one of the major barriers to grow crops beyond two convetional seasons, rabi and kharif. Ensuring irrigation access through solar power will help improve cropping intensity and hence move towards the aim of doubling farmers' income by 2022. ",,,,
 Maharashtra , Chandrapur ,"The district has ground water available within safe limit and comparatively high concentration of diesel pump users but overall low crop revenue per holding and relatively low disbursement of institutional credit, making it difficult to promote solar-based irrigation through private ownership of pump here. ","Given the relatively high power purchase rate for the respective DISCOM, comparatively high extent of feeder segregation, and high penetration of electric pumps, solarization of feeder would be the way to promote solar-powered irrigation in the district. It would ensure rapid and cost effective solarization of irrigation power at large scale. ",#N/A,"The district has comparatively high disbursement of institutional cedit to marginal farmers and groundwater available within safe limit but rather low concentration of marginal farmers and relatively low proportion of horticulture crops under gross cropped area, making it difficult to promote 1 HP and sub-HP pump here.","The district has relatively high proportion of its net sown area unirrigated, indicating high irrigation demand. Solar pumps can help improve access to underground irrigation as part of Har Khet ko Pani.",,,"The district has relatively high proportion of its net sown area unirrigated. Lack of access to irrigation is one of the major barriers to grow crops beyond two convetional seasons, rabi and kharif. Ensuring irrigation access through solar power will help improve cropping intensity and hence move towards the aim of doubling farmers' income by 2022. ",,,,
 Maharashtra , Dhule ,"Availability of groundwater within safe limit, comparatively high concentration of diesel pump users, relatively higher crop revenue per revenue and institutional credit disbursed in the district make it a suitable candidate for promotion of solar-based irrigation through private ownership of solar pumps. Ownership of pump, being less subject to external fluctuation, would provide better control over irrigation for farmers. ","The district has rather high power purchase rate for the respective DISCOM and comparatively high extent of feeder segregation but relatively low penetration of electric pumps, making it somewhat difficult to solarize the feeder here. ",#N/A,"The district has comparatively high disbursement of institutional cedit to marginal farmers and groundwater available within safe limit but rather low concentration of marginal farmers and relatively low proportion of horticulture crops under gross cropped area, making it difficult to promote 1 HP and sub-HP pump here.","The district has relatively high proportion of its net sown area unirrigated, indicating high irrigation demand. Solar pumps can help improve access to underground irrigation as part of Har Khet ko Pani.",,,"The district has relatively high proportion of its net sown area unirrigated. Lack of access to irrigation is one of the major barriers to grow crops beyond two convetional seasons, rabi and kharif. Ensuring irrigation access through solar power will help improve cropping intensity and hence move towards the aim of doubling farmers' income by 2022. ",,,,
